"Année","Consommation annuelle totale de l'adresse (MWh)","Consommation annuelle moyenne par logement de l'adresse (MWh)","Consommation annuelle moyenne de la commune (MWh)","adresse","numero_dpe","etiquette_dpe","etiquette_ges","annee_construction","surface_habitable_logement","conso_5 usages_ef","emission_ges_5_usages","cout_total_5_usages","nombre_appartement"
2024,70.386,1.717,2.631,"61 RUE DE LA GRANGE AUX BELLES 750 PARIS","2475E1146169L","D","D",1982,66,10439.9,2244.9,1085.2,42
2024,51.492,2.146,2.631,"17 RUE DE LA GRANGE AUX BELLES 750 PARIS","2475E2049594O","F","F",1948,40.3,14298.5,3183.7,1225,50
2024,118.253,3.112,2.631,"36 AVENUE DE LA MOTTE PICQUET 750 PARIS","2475E0595626S","E","E",1945,97.1,23611.3,5244.5,1864,34
2024,84.613,2.227,2.631,"50 RUE DE LA POMPE 750 PARIS","2475E2534299B","C","C",2015,34,4522.3,829.2,446.6,38
2024,61.779,1.993,2.631,"5 PLACE DE LA PORTE DE SAINT CLOUD 750 PARIS","2475E1665941R","D","D",1933,83,18682.6,3479.5,1516.2,35
2024,34.878,1.836,2.631,"10 AVENUE DE LA PORTE DES LILAS 750 PARIS","2475E3553405L","E","E",1933,44,12068.3,2698.1,1142,75
2024,166.47,5.549,2.631,"202 RUE DE LA ROQUETTE 750 PARIS","2475E2965466K","D","B",1986,31,3359.2,240.6,794.5,66
2024,77.235,1.43,2.631,"142 RUE DE LA ROQUETTE 750 PARIS","2475E2377453N","D","D",1969,65,14259.6,3191.1,1378.3,55
2024,127.769,5.111,2.631,"6 SQUARE DE LA SALAMANDRE 750 PARIS","2475E3357962K","C","A",1988,84,6384.9,470.1,1378.5,60
2024,103.09,4.686,2.631,"3 QUAI DE LA SEINE 750 PARIS","2475E3321071N","D","B",1995,87,8298.6,614.9,1756,22
2024,102.792,3.316,2.631,"20 RUE DE LA TERRASSE 750 PARIS","2475E1262678O","D","D",1945,122.2,26581.7,5865.1,2073,29
2024,83.908,1.104,2.631,"29 RUE DU DOCTEUR FINLAY 750 PARIS","2475E3437479T","E","D",1968,51.7,13978.7,2358.2,1326,157
